Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Bangladesh,3.8127,4.10894,4.27154,4.56778,4.7803,5.00135,5.3615,5.57017,5.92145,6.32695,6.42794
Brazil,48.95297,47.78927,47.73233,47.78749,48.93927,50.25623,51.51575,53.22689,52.68423,53.73497,57.69613
Canada,418.69143,408.71096,412.3892,422.39473,428.67494,427.41524,420.6023,413.05156,404.0949,389.0471,383.49634
China,31.4685,32.42302,34.03191,38.94003,44.86047,49.46962,53.96891,57.12489,59.98329,65.73054,71.97437
Colombia,30.27601,29.73781,29.14593,29.80082,29.71332,30.57365,31.22224,31.2915,31.23595,30.57367,30.95173
Ethiopia,1.0023,1.05021,1.09283,1.15904,1.17919,1.22348,1.34605,1.41845,1.62671,1.5594,1.58963
France,177.21288,180.06341,177.77206,178.46961,180.38341,180.44481,179.69232,175.73944,176.23363,166.54494,169.76134
Germany,173.52073,177.55294,173.56524,171.74422,173.76352,171.07679,173.89027,168.12973,172.15365,161.94287,171.81236
India,13.24989,13.52257,13.13655,13.35042,14.26428,14.96965,15.91784,16.73585,17.24824,18.71032,19.36064
Indonesia,18.09673,17.92218,18.62417,18.59623,19.51169,19.88731,21.99918,23.63309,23.46436,25.11488,25.81658
Italy,131.20983,131.58771,131.77825,135.50271,137.77642,137.69113,136.23112,133.60194,131.5385,121.61378,126.11908
Japan,176.76228,174.65113,173.62533,173.4673,178.26983,176.75567,179.25046,178.12315,171.17806,161.79497,171.28318
Mexico,63.85637,62.48094,61.9203,62.23768,61.66337,63.17766,64.60813,65.91626,66.16222,62.55326,64.84331
Nigeria,6.5166,7.14817,7.14294,7.27798,7.12071,7.62323,7.0691,6.6009,6.97198,5.60051,4.51894
Pakistan,12.11132,11.47541,11.31465,11.71779,11.8295,12.63648,13.83071,14.13994,13.83014,13.80552,13.88819
Philippines,14.03023,13.55056,13.50826,13.65549,13.69743,13.44385,13.07043,12.52815,12.77802,11.67083,12.1693
Russia,177.75335,175.66948,183.21087,189.40043,195.45684,194.62656,193.99994,200.79186,208.07238,188.46397,208.55993
South Africa,101.71578,101.96284,98.43929,104.71121,110.88106,107.83603,110.32818,112.14774,118.30442,114.43677,114.05031
Spain,135.50199,140.16186,140.02723,145.02154,147.52303,149.20343,147.85152,148.96904,142.24144,131.89478,134.24798
Thailand,41.54362,43.1606,46.64891,50.65562,53.95965,56.84951,57.29125,58.93065,54.62639,61.43488,65.19501
Turkey,46.84576,42.1478,45.08866,46.78978,48.75723,51.04028,54.79585,58.23588,55.97952,55.25161,57.68926
Ukraine,117.35023,116.29153,121.14064,131.80163,132.21251,134.73626,125.13695,135.64448,134.58604,98.07637,110.44659
United Kingdom,164.51041,166.41455,163.52961,163.69586,163.86406,162.26568,159.58373,152.99081,150.36,140.97429,143.11846
United States,350.20416,337.46887,339.48746,337.61021,342.0731,339.34309,333.899,336.34413,326.51774,308.36043,316.86657
Vietnam,9.29646,10.13769,11.09884,11.88586,13.29592,14.27656,15.11683,16.20391,18.59769,18.96221,20.52984
